poi_id,country,region_hint,name,form,timing,window,why,time_needed,sources,confidence,status,added_at
ge-abano-pass-road-to-omalo-tusheti,Georgia,"Kakheti/Tusheti, Pshaveli–Abano–Omalo road",Abano Pass road to Omalo (Tusheti),route,seasonal,Open roughly early June to late Sep/early Oct; closed by snow the rest of the year,"One of Georgia's classic overlanding tracks: a ~70km narrow dirt/gravel climb over a 2,850m pass with 1,600ft drop-offs and no guardrails, leading into the remote Tusheti highlands with abundant wild camping along the way. High clearance/4x4 strongly recommended.",4-5 hrs driving one way; 2-3 days to explore Tusheti,https://ioverlander.com/places/44911-abano-pass-road-condition;https://ountravela.com/en/overlanding-off-road-trip/georgia-caucasus/tusheti-road-to-omalo/;https://en.wikipedia.org/wiki/Abano_Pass,High,new,2026-09-01T05:06:23Z
ge-latpari-pass-track-lentekhi-ushguli-alternate-route,Georgia,Lower Svaneti (Lentekhi) to Upper Svaneti (Ushguli),Latpari Pass track (Lentekhi–Ushguli alternate route),route,seasonal,"Summer only (roughly Jul-Sep); impassable in wet/snow conditions, powerful 4x4 needed","A steep, technical unpaved alternative into Ushguli from the south (as opposed to the now largely paved Zagari/Mestia road), climbing well over 1,000m in a few km through alpine terrain — reported to defeat vehicles on all-weather tires. A genuine 4x4 challenge with big payoff scenery.",half-day,https://www.caucasus-trekking.com/treks/ushguli-to-chvelpi-by-latpari-pass;https://wander-lush.org/ushguli-to-kutaisi-zagari-pass/,Medium,new,2026-09-01T05:06:23Z
ge-truso-valley-off-road-track,Georgia,"Kazbegi/Stepantsminda, Truso Gorge",Truso Valley off-road track,route,weather_dependent,"Best May-Oct; rough track can be impassable after heavy rain, near the South Ossetia administrative boundary","A rough unpaved valley track past travertine terraces, mineral geysers, abandoned Ossetian defensive towers and the ruined village of Ketrisi — a genuine 4WD-only detour close to Kazbegi that most tour vans skip.",half-day,https://www.georgia-spirit.com/guides/tbilisi-to-truso-valley/;https://friendly.ge/en/activity/313703/ananuri-truso-stepantsminda-kazbegi-off-road-group-tour,Medium,new,2026-09-01T05:06:23Z
ge-verkhny-lars-dariali-border-crossing-georgia-russia,Georgia,"Stepantsminda/Dariali Gorge, Georgian Military Highway",Verkhny Lars / Dariali border crossing (Georgia–Russia),place,weather_dependent,Open year-round but subject to snow closures (e.g. full closure Dec 2025) and periodic roadwork/truck restrictions; car crossing not always available to ordinary tourists depending on nationality and visa status,"The only Georgia–Russia land crossing that avoids South Ossetia/Abkhazia, set in the dramatic Dariali Gorge on the Georgian Military Highway; relevant to overlanders continuing into/from Russia, though crossing rules for foreign tourists are currently in flux and insurance/vehicle import add complexity.",2-6+ hrs depending on queue,https://en.wikipedia.org/wiki/Verkhni_Lars;https://meduza.io/en/feature/2026/08/19/record-crowds-are-crossing-the-russia-georgia-border-at-verkhny-lars-here-s-what-the-numbers-actually-show,Medium,new,2026-09-01T05:06:23Z
ge-vashlovani-national-park-4x4-trail,Georgia,"Kakheti, Dedoplistsqaro municipality, near Azerbaijan border",Vashlovani National Park 4x4 trail,area,seasonal,"Best spring (Apr-May) and autumn (Sep-Oct); extreme summer heat, tracks can be impassable after rain","Georgia's only semi-desert landscape — canyons, badlands, savanna and ancient pistachio groves with gazelle and vulture populations, explored via dirt/rock 4x4 tracks with designated and wild camping inside the park. A distinctly different overlanding experience from the rest of the country.",1-2 days,https://wander-lush.org/visit-vashlovani-itinerary/;https://www.goingthewholehogg.com/vashlovani-and-david-gareja-4x4-georgia-road-trip-itinerary/,High,new,2026-09-01T05:06:23Z
ge-david-gareja-cave-monastery-complex,Georgia,"Kakheti, Sagarejo municipality, Azerbaijan border",David Gareja cave monastery complex,place,anytime,,"6th-century cave monastery complex carved into a sandstone ridge straddling the disputed Georgia-Azerbaijan border, with border guard presence adding an overlanding-relevant access dimension; often combined with a Vashlovani/Kakheti loop.",half-day,https://wander-lush.org/david-gareja-monastery-georgia/;https://en.wikipedia.org/wiki/David_Gareji_monastery_complex,High,new,2026-09-01T05:06:23Z
ge-sno-valley-juta-chaukhi-massif-road,Georgia,"Kazbegi, Sno Valley to Juta village",Sno Valley – Juta – Chaukhi massif road,route,seasonal,"Jun-Sep/Oct; broken rocky/water-crossing sections need high clearance or 4x4, snowed in outside summer","A short but spectacular gravel valley road off the Georgian Military Highway to the Khevsur village of Juta (2,150m) beneath the Chaukhi massif, doubling as trailhead for treks to Chaukhi Pass and Abudelauri Lakes; a favorite easy-access wild camp/detour near Kazbegi.","half-day detour, 2-3 days if trekking on",https://www.backpackadventures.org/juta-georgia/;https://og.ge/tips/road-to-juta,High,new,2026-09-01T05:06:23Z
ge-nokalakevi-hot-sulfur-spring-and-fortress,Georgia,"Samegrelo, near Senaki/Nokalakevi village",Nokalakevi hot sulfur spring and fortress,place,anytime,,"A free natural hot spring (37-38°C) forming mineral-white terraces beside the Tekhuri River, right next to the ancient Nokalakevi fortress/archaeological site — an easy, low-key detour off the Kutaisi–Zugdidi–Svaneti route.",2-3 hrs,https://wander-lush.org/nokalakevi-fortress-hot-spring-jikha/;https://travel-batumi.com/en/nokalakevi-hot-spring,Medium,new,2026-09-01T05:06:23Z
ge-lake-udziro-wild-camp-racha,Georgia,"Racha, near Shovi resort/Oni",Lake Udziro wild camp (Racha),activity,seasonal,"Summer only, roughly Jun-Sep","A bottomless-looking alpine lake at 2,800m on the slopes of Mt. Katitsvera, reached by a moderate hike/track from the Shovi resort base — a well-known wild-camping and panoramic Caucasus-viewpoint spot for those overlanding through Racha.",2-day round trip (hike + camp),https://www.goingthewholehogg.com/udziro-lake-hiking-guide/;https://georgia.to/en/places-to-go/racha/udziro-lake/,Medium,new,2026-09-01T05:06:23Z
ge-vardzia-cave-city,Georgia,"Samtskhe-Javakheti, near Akhaltsikhe/Aspindza",Vardzia cave city,place,anytime,,"A 13-tier, 600+ room cave monastery carved into a cliff face, conveniently positioned as a midpoint stop between western Georgia and the Turkish border area (Vale crossing), with the Khertvisi fortress passed en route requiring no detour.",2-3 hrs,https://wander-lush.org/vardzia-cave-monastery-guide/;https://www.backpackadventures.org/vardzia-cave-town/,High,new,2026-09-01T05:06:23Z
